Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
310620005620001,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200086,Funcionários,1,0,212,511,2.41,1.45,6980.83,57497733.57,7149.44,57681925.55,4002.92,36158039.36,5322.56,41067873.34,NA
310620005620002,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200086,Funcionários,1,0,189,587,3.11,1.99,11174.2,1358909597.56,13282.53,1588749082.83,6570.61,523352042.79,9087.01,701391655.91,NA
310620005620003,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200086,Funcionários,1,0,295,823,2.79,1.72,8025.51,52526577.69,8516.27,51555624.99,4785.51,41066908.44,6492.77,44639365.07,NA
310620005620004,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200098,Serra,1,0,226,642,2.84,1.66,5359.17,55194357.58,5879.48,57505109.44,3013.3,28396544.96,4264.1,34865495.8,NA
310620005620005,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200098,Serra,1,0,295,801,2.72,1.75,7274.49,51581535.6,7477.27,51502883.44,4353.63,35636435.45,5670.88,38954445.42,NA
310620005620006,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200098,Serra,1,0,301,869,2.89,2.03,8731.33,328659526.57,9319.61,345380000.49,4689.12,136260791.82,6469.6,176546657.69,NA
310620005620007,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200098,Serra,1,0,363,1025,2.82,1.51,8038.02,51004082.13,8457.39,50115773.29,4537.25,36165002.47,6131.07,39101178.86,NA
310620005620008,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200098,Serra,1,0,212,550,2.59,1.8,6885.03,225269686.38,7447.07,239546313.15,4285.65,124297775.16,5703.13,157410701.27,NA
310620005620009,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200098,Serra,1,0,277,776,2.8,1.83,7203.21,231148598.97,8383.56,259248357.22,4835.49,110078100.88,6336.45,134779751.29,NA
310620005620010,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200119,Cruzeiro,1,0,165,420,2.55,1.52,5529.41,78090516.8,6123.17,82872466.61,3339.14,40030248.26,4569.96,49191942.05,NA
310620005620011,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200119,Cruzeiro,1,0,299,731,2.44,1.42,7073.85,330593975.39,7421.34,344302960.52,3954.23,149987525.55,5250.09,192416812.49,NA
310620005620012,3,Região Sudeste,31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,16,RM Belo Horizonte,3106200,BELO HORIZONTE,310620005,BELO HORIZONTE,31062000562,CENTRO-SUL,3106200087,Savassi,1,0,194,479,2.47,1.55,9237.22,109791106.2,9582.99,110591624.32,5382.73,66937512.77,6819.13,75027766.28,NA
